ads_id,seller_id,product_id,ads_title,date_post
1,27,86,Honda CR-V dijual cepat Rp159000000,2022-06-08 13:45:02
2,4,65,Toyota Calya dijual cepat Rp113000000,2022-06-14 15:24:37
3,13,197,Suzuki Ertiga dijual cepat Rp155500000,2022-05-22 13:15:22
4,5,155,Toyota Yaris dijual cepat Rp189900000,2022-02-22 01:35:46
5,7,125,Daihatsu Terios dijual cepat Rp175000000,2022-05-12 07:27:20
6,9,3,Toyota Yaris dijual cepat Rp162000000,2022-03-26 23:48:32
7,26,167,Daihatsu Ayla dijual cepat Rp269000000,2022-03-04 18:22:51
8,1,135,Honda Jazz dijual cepat Rp179000000,2022-01-09 05:12:39
9,32,171,Daihatsu Terios dijual cepat Rp398500000,2022-04-21 07:25:24
10,26,98,Suzuki Ertiga dijual cepat Rp115500000,2022-06-22 21:26:12
11,48,37,Honda CR-V dijual cepat Rp345000000,2022-01-20 18:42:04
12,16,121,Daihatsu Terios dijual cepat Rp125000000,2022-05-05 16:09:27
13,28,190,Honda CR-V dijual cepat Rp162000000,2022-06-22 10:54:02
14,20,19,Daihatsu Ayla dijual cepat Rp115000000,2022-06-15 00:14:52
15,25,55,Toyota Yaris dijual cepat Rp216000000,2022-03-12 22:08:52
16,6,32,Honda Jazz dijual cepat Rp250000000,2022-03-06 20:10:33
17,39,149,Suzuki Ertiga dijual cepat Rp107000000,2022-04-13 04:55:21
18,11,54,Toyota Yaris dijual cepat Rp135000000,2022-02-07 17:22:37
19,8,157,Toyota Agya dijual cepat Rp116000000,2022-05-25 18:25:41
20,33,69,Daihatsu Ayla dijual cepat Rp179000000,2022-03-11 06:11:01
21,16,85,Honda Jazz dijual cepat Rp116000000,2022-01-29 17:39:14
22,12,59,Toyota Agya dijual cepat Rp189900000,2022-06-08 09:09:23
23,29,186,Honda CR-V dijual cepat Rp135000000,2022-03-19 18:43:56
24,26,164,Toyota Calya dijual cepat Rp100000000,2022-05-19 10:06:49
25,48,29,Daihatsu Xenia dijual cepat Rp100000000,2022-04-14 08:18:19
26,41,155,Toyota Yaris dijual cepat Rp189900000,2022-06-03 14:00:04
27,42,4,Toyota Yaris dijual cepat Rp220000000,2022-03-06 11:57:18
28,18,140,Honda CR-V dijual cepat Rp398500000,2022-02-24 01:25:33
29,24,198,Suzuki Ertiga dijual cepat Rp192000000,2022-02-20 07:15:25
30,34,169,Daihatsu Ayla dijual cepat Rp415000000,2022-04-03 09:32:51
31,30,181,Honda Jazz dijual cepat Rp223000000,2022-05-17 13:16:50
32,20,72,Daihatsu Terios dijual cepat Rp345000000,2022-01-23 01:11:19
33,35,166,Daihatsu Ayla dijual cepat Rp345000000,2022-01-02 05:30:34
34,17,122,Daihatsu Terios dijual cepat Rp113000000,2022-05-10 05:45:04
35,28,142,Honda Civic dijual cepat Rp165000000,2022-04-16 03:03:20
36,28,22,Daihatsu Terios dijual cepat Rp223000000,2022-01-16 03:44:14
37,10,145,Honda Civic dijual cepat Rp115000000,2022-06-11 01:54:53
38,40,89,Honda CR-V dijual cepat Rp167000000,2022-01-20 22:24:12
39,19,195,Honda Civic dijual cepat Rp179000000,2022-01-29 10:27:29
40,27,3,Toyota Yaris dijual cepat Rp162000000,2022-01-15 21:35:59
41,49,5,Toyota Yaris dijual cepat Rp124000000,2022-02-04 11:07:59
42,41,191,Honda Civic dijual cepat Rp201000000,2022-06-22 18:37:54
43,39,4,Toyota Yaris dijual cepat Rp220000000,2022-03-31 00:25:18
44,36,4,Toyota Yaris dijual cepat Rp220000000,2022-05-25 22:03:37
45,28,58,Toyota Agya dijual cepat Rp125000000,2022-03-02 07:27:02
46,6,134,Honda Jazz dijual cepat Rp115500000,2022-04-09 00:18:05
47,38,151,Toyota Yaris dijual cepat Rp120000000,2022-01-10 10:09:35
48,17,19,Daihatsu Ayla dijual cepat Rp115000000,2022-06-12 22:34:36
49,29,171,Daihatsu Terios dijual cepat Rp398500000,2022-03-22 22:35:20
50,34,87,Honda CR-V dijual cepat Rp97000000,2022-01-28 11:11:18
51,46,27,Daihatsu Xenia dijual cepat Rp220500000,2022-01-28 05:57:20
52,12,110,Toyota Agya dijual cepat Rp397500000,2022-02-19 09:38:37
53,41,105,Toyota Yaris dijual cepat Rp120000000,2022-05-08 01:45:19
54,19,176,Daihatsu Xenia dijual cepat Rp186000000,2022-05-13 21:28:30
55,39,5,Toyota Yaris dijual cepat Rp124000000,2022-03-17 05:05:11
56,29,104,Toyota Yaris dijual cepat Rp162000000,2022-01-03 10:08:46
57,32,94,Honda Civic dijual cepat Rp83000000,2022-01-23 03:03:07
58,17,34,Honda Jazz dijual cepat Rp192000000,2022-06-01 01:28:09
59,26,117,Daihatsu Ayla dijual cepat Rp170000000,2022-03-15 10:20:46
60,40,111,Toyota Calya dijual cepat Rp96000000,2022-01-07 07:18:18
61,24,181,Honda Jazz dijual cepat Rp223000000,2022-01-25 03:55:49
62,49,62,Toyota Calya dijual cepat Rp415000000,2022-01-03 17:29:56
63,29,95,Honda Civic dijual cepat Rp236000000,2022-04-30 23:34:39
64,11,168,Daihatsu Ayla dijual cepat Rp100000000,2022-01-28 18:25:06
65,5,182,Honda Jazz dijual cepat Rp397500000,2022-04-03 13:01:24
66,40,98,Suzuki Ertiga dijual cepat Rp115500000,2022-03-13 15:59:09
67,43,87,Honda CR-V dijual cepat Rp97000000,2022-01-21 17:35:41
68,40,6,Toyota Agya dijual cepat Rp114000000,2022-01-04 12:26:40
69,13,37,Honda CR-V dijual cepat Rp345000000,2022-02-15 11:49:03
70,17,74,Daihatsu Terios dijual cepat Rp175000000,2022-06-01 14:20:52
